公司代號,公司名稱,市場別,財簽事務所,財簽會計師,[永續報告書] 狀態,[永續報告書] 申報日,[永續報告書] 有會計師確信,[永續報告書] 確信出具者,[永續報告書] 確信準則,[永續報告書] 確信等級,[永續報告書] 確信範圍,[永續報告書] 有第三方查證,[永續報告書] 查證機構,[永續報告書] 查證標準,[永續報告書] 確信者為安永,[溫室氣體] 已申報,[溫室氣體] 範疇一排放量,[溫室氣體] 範疇二排放量,[溫室氣體] 範疇一確信範圍,[溫室氣體] 範疇一確信意見,[溫室氣體] 有確信報告,[溫室氣體] 確信報告出具者,[溫室氣體] 出具者類型,[溫室氣體] 確信者為安永,【綜合】重疊態樣,【綜合】待補資料,資料來源,需人工確認
1218,泰山,上市,安永聯合會計師事務所,黃子評、林素雯,已出版,2026/08/28,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 永續會計準則委員會(SASB)之行業指標",否,,,是,是,"6,111.9136","6,028.9680",N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1218&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1218&year=2025&lang=zh-TW,否
1233,天仁,上市,安永聯合會計師事務所,陳智忠、李育儒,已出版,2026/08/19,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 永續會計準則委員會(SASB)之行業指標",否,,,是,是,"1,380.2500","3,619.2100",N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1233&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1233&year=2025&lang=zh-TW,否
1236,宏亞,上市,安永聯合會計師事務所,徐榮煌、劉榮進,已出版,2026/08/24,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 所屬產業之永續指標, 永續會計準則委員會(SASB)之行業指標",否,,,是,是,"2,839.8200","7,346.3600",已完成合併財務報表之母子公司,有限確信,是,安永聯合會計師事務所,會計師事務所,是,兩線皆重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1236&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1236&year=2025&lang=zh-TW,是：溫室氣體確信報告：確信標的為永續報告書永續績效資訊（準則3000號），非溫室氣體聲明；填報於溫室氣體確信欄位，範圍認定需確認
1319,東陽,上市,安永聯合會計師事務所,胡子仁、洪國森,已出版,2026/08/28,是,秉承聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 自訂指標",否,,,否,是,"15,306.7024","67,241.3954","已完成母公司,已完成溫室氣體盤查查證之子公司如下:
1.TYG HOLDING (U.S.A.), INC.
2.TYG MANAGEMENT, INC.
3.TYG LEASING, L.P.
4.TYG PRODUCTS, L.P.
5.佛山東陽汽車零部件有限公司
6.東陽(廣州)技術研發服務有限公司
7.重慶大江東陽塑料製品有限公司
8.福州東陽塑料製品有限公司
9.廣州東陽立松模具製造有限公司
10.如陽股份有限公司",合理保證等級,是,財團法人工業技術研究院（ITRI）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1319&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1319&year=2025&lang=zh-TW,否
1324,地球,上市,安永聯合會計師事務所,徐榮煌、楊弘斌,已出版,2026/08/27,否,,,,,否,,,無確信,是,"3,257.4133","2,072.9421",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1324&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1324&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
1342,八貫,上市,安永聯合會計師事務所,張志銘、黃建澤,已出版,2026/08/25,否,,,,,否,,,無確信,是,"3,186.6225","5,117.5597",已完成母公司,合理保證等級,是,台灣德國北德技術監護顧問股份有限公司（TÜV NORD）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1342&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1342&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
1423,利華,上市,安永聯合會計師事務所,余倩如、王彥鈞,已出版,2026/08/11,否,,,,,否,,,無確信,是,45.8276,471.1445,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1423&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1423&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
1445,大宇,上市,安永聯合會計師事務所,黃靖雅、劉榮進,已出版,2026/08/13,否,,,,,否,,,無確信,是,105.0517,"6,599.4396",已完成母公司,有限確信,是,安永聯合會計師事務所,會計師事務所,是,僅溫室氣體確信重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1445&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1445&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
1446,宏和,上市,安永聯合會計師事務所,胡子仁、姚世傑,已出版,2026/08/11,否,,,,,否,,,無確信,是,1.6062,144.7994,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1446&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1446&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
1516,川飛,上市,安永聯合會計師事務所,鄭清標、林政緯,已出版,2026/08/17,否,,,,,否,,,無確信,是,0.0000,4.9586,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=1516&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=1516&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
